"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"TERMBLOCK_1X2";"TERMBLOCK_1X2-3.5MM";"X1";"3.5mm Terminal block";"";
"1";"0.1 Ohm";"R_R0805";"R0805";"R11";"RESISTOR, American symbol";"";
"1";"0.1uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"C3";"Ceramic Capacitors";"";
"1";"0.56_HEX_BACKPACK";"0.56_HEX_BACKPACK";"0.56_HEX_BACKPACK";"U2";"0.56" LED HEX Backback - Adafruit HT16K33 -";"";
"3";"105K";"RESISTOR0805_NOOUTLINE";"0805-NO";"R6, R9, R10";"Resistors";"";
"1";"10pF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"C4";"Ceramic Capacitors";"";
"2";"10uF/16V X5R";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"C1, C2";"Ceramic Capacitors";"";
"1";"1K";"RESISTOR0805_NOOUTLINE";"0805-NO";"R8";"Resistors";"";
"2";"1M";"RESISTOR0805_NOOUTLINE";"0805-NO";"R5, R7";"Resistors";"";
"1";"1uF/10V X5R";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"C8";"Ceramic Capacitors";"";
"3";"2.2k";"R_R0603";"R0603";"R2, R3, R4";"RESISTOR, American symbol";"";
"3";"22uF/10V X5R";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"C5, C6, C7";"Ceramic Capacitors";"";
"1";"BSS138";"MOSFET-NWIDE";"SOT23-WIDE";"Q1";"N-Channel Mosfet";"";
"1";"DIODE";"DIODE";"DIODE";"D2";"Standard diode";"";
"1";"DS18B20_TEMP_SENSOR";"DS18B20_TEMP_SENSOR";"DS18B20_TEMP_SENSOR";"T1";"Adafruit temperature sensor";"";
"3";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_40MIL";"FUD1, FUD2, FUD3";"";"";
"1";"GREEN";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"D1";"LED";"";
"1";"HEATING_PAD";"HEATING_PAD";"HEATING_PAD";"H1";"Adafruit 12V heating pad";"";
"3";"LED";"LED";"EIA-STD";"BLUE, GREEN, RED";"LTST-C191TBKT Series of LEDs";"";
"4";"MOUNTING_HOLE";"MOUNTING_HOLE";"MOUNTING_HOLE";"MGT1, MGT2, MGT3, MGT4";"Chassis Mounting Hole w/GND connection ability";"";
"1";"NRS5030T1R0NMGJ ";"INDUCTORTDK_VLC5045";"INDUCTOR_5X5MM_TDK_VLC5045";"L1";"Inductors";"";
"1";"POCKETBEAGLE";"POCKETBEAGLE";"POCKETBEAGLE";"U1";"";"";
"1";"POTENTIOMETER";"POTENTIOMETER";"POT-PO90S";"R1";"Potentiometer - Examples:";"";
"1";"TIP32C_TRANSISTOR";"TIP32C_TRANSISTOR";"TIP32C_TRANSISTOR";"TR1";"Power transistor";"";
"1";"TPS63060";"VREG_TPS63060/1";"PWSON-N10";"U3";"TPS63060/63061 2A Boost/Buck Switch Converter";"";
